,Species,Superordinal_Group,Group,Order,Family,Genus,Media,Body_Mass,Humerus_Length,Humerus_Prox_Width,Humerus_MidS_Width,Humerus_Distal_Width,Humerus_Height,Radius_Length,Radius_Prox_Width,Radius_MidS_Width,Radius_Distal_Width,Radius_Height,Metacarpus_Length,Metacarpus_Prox_Width,Metacarpus_MidS_Width,Metacarpus_Distal_Width,Metacarpus_Height,Phalanx_Length,Phalanx_Prox_Width,Phalanx_MidS_Width,Phalanx_Distal_Width,Phalanx_Height,Digit_Length,major_clade
Zaglossus_sp,Zaglossus_sp,,Monotremata,Monotremata,Tachyglossidae,Zaglossus,terrestrial,8951.71,76.747,36.968,16.567,55.854,18.23,79.726,16.985,9.806,16.732,4.792,11.002,11.507,11.015,10.709,8.166,6.003,10.881,11.355,11.099,6.223,45.813,others
Tachyglossus_aculeatus,Tachyglossus_aculeatus,,Monotremata,Monotremata,Tachyglossidae,Tachyglossus,terrestrial,4499.97,52.925,26.479,12.103,45.906,10.653,45.35,12.212,5.248,10.631,4.64,6.98,8.055,7.269,7.734,4.853,3.625,8.259,9.01,7.954,6.088,33.147,others
Ornithorhynchus_anatinus,Ornithorhynchus_anatinus,,Monotremata,Monotremata,Ornithorhynchidae,Ornithorhynchus,semi-aquatic,1484.25,34.433,16.747,9.172,26.914,7.768,30.843,6.313,2.876,6.088,2.711,10.87,4.587,3.011,4.316,3.379,8.456,4.876,4.647,5.232,2.712,26.953,others
Solenodon_paradoxus,Solenodon_paradoxus,Laurasiatheria,Eulipotyphla,Eulipotyphla,Solenodontidae,Solenodon,terrestrial,899.99,49.455,11.995,5.768,18.264,7.825,40.301,5.585,5.737,8.676,3.054,16.86,2.761,2.324,3.568,2.566,9.008,3.929,2.787,3.058,2.652,26.265,others
Neurotrichus_gibbsii,Neurotrichus_gibbsii,Laurasiatheria,Eulipotyphla,Eulipotyphla,Talpidae,Neurotrichus,terrestrial,9.56,6.631,3.821,1.736,3.972,1.569,7.962,1.586,0.894,1.476,0.537,1.524,0.986,0.726,0.887,0.69,1.333,0.993,0.638,0.829,0.652,5.211,others
Galemys_pyrenaicus,Galemys_pyrenaicus,Laurasiatheria,Eulipotyphla,Eulipotyphla,Talpidae,Galemys,semi-aquatic,60.17,12.117,4.532,2.155,6.348,1.971,15.401,1.924,1.131,1.902,0.998,3.57,1.013,0.687,0.805,0.862,3.077,0.964,0.79,0.82,0.817,8.75,others
Desmana_moschata,Desmana_moschata,Laurasiatheria,Eulipotyphla,Eulipotyphla,Talpidae,Desmana,semi-aquatic,427.64,21.947,9.086,4.802,13.487,4.089,24.67,3.551,2.671,4.347,1.804,6.98,2.12,1.521,1.449,1.54,5.64,1.556,1.321,1.392,1.531,14.667,others
Euroscaptor_micrura,Euroscaptor_micrura,Laurasiatheria,Eulipotyphla,Eulipotyphla,Talpidae,Euroscaptor,terrestrial,60.46,11.709,9.554,4.031,8.113,3.002,8.724,2.728,1.657,3.77,1.253,2.478,2.174,1.474,1.753,1.334,1.898,1.853,1.694,1.696,0.744,8.915,others
Mogera_wogura,Mogera_wogura,Laurasiatheria,Eulipotyphla,Eulipotyphla,Talpidae,Mogera,terrestrial,96.88,17.78,13.783,6.066,12.144,4.333,12.067,4.246,2.465,5.617,2.007,3.493,3.061,2.24,2.522,2.212,2.652,2.946,2.519,2.956,1.479,13.007,others
Condylura_cristata,Condylura_cristata,Laurasiatheria,Eulipotyphla,Eulipotyphla,Talpidae,Condylura,semi-aquatic,48.15,10.815,8.226,2.879,7.671,3.322,12.219,2.815,1.182,3.331,1.103,2.853,2.216,1.3,1.679,1.316,2.791,1.718,1.17,1.439,1.106,10.074,others
Scalopus_aquaticus,Scalopus_aquaticus,Laurasiatheria,Eulipotyphla,Eulipotyphla,Talpidae,Scalopus,terrestrial,87.15,12.435,11.687,5.852,10.728,4.069,9.641,3.438,2.532,5.502,1.657,1.358,3.007,2.68,2.766,1.539,1.443,2.949,2.885,2.902,1.391,12.772,others
Scapanus_latimanus,Scapanus_latimanus,Laurasiatheria,Eulipotyphla,Eulipotyphla,Talpidae,Scapanus,terrestrial,62.46,11.75,10.116,4.724,9.393,3.67,8.385,2.762,1.834,4.56,1.241,1.311,2.399,2.028,2.152,1.409,1.504,2.191,2.171,2.277,1.137,10.646,others
Myosorex_kihaulei,Myosorex_kihaulei,Laurasiatheria,Eulipotyphla,Eulipotyphla,Soricidae,Myosorex,terrestrial,9.5,8.997,2.183,0.987,3.174,1.255,8.398,0.918,0.512,1.084,0.412,3.122,0.518,0.413,0.621,0.457,1.668,0.71,0.459,0.554,0.394,4.493,others
Congosorex_verheyeni,Congosorex_verheyeni,Laurasiatheria,Eulipotyphla,Eulipotyphla,Soricidae,Congosorex,terrestrial,7.1,7.613,2.141,0.861,2.985,0.955,6.495,0.937,0.506,0.746,0.338,2.47,0.528,0.384,0.638,0.411,1.323,0.738,0.394,0.513,0.43,3.753,others
Sylvisorex_howelli,Sylvisorex_howelli,Laurasiatheria,Eulipotyphla,Eulipotyphla,Soricidae,Sylvisorex,terrestrial,4,7.285,1.527,0.585,2.101,0.838,6.849,0.677,0.455,0.718,0.353,3.011,0.362,0.298,0.501,0.275,1.607,0.523,0.288,0.381,0.256,3.324,others
Scutisorex_somereni,Scutisorex_somereni,Laurasiatheria,Eulipotyphla,Eulipotyphla,Soricidae,Scutisorex,terrestrial,91.49,16.898,4.135,1.609,5.522,2.447,14.551,1.692,1.077,1.858,0.746,6.242,0.937,0.945,1.261,0.704,3.271,1.269,0.735,0.842,0.644,7.698,others
Suncus_murinus,Suncus_murinus,Laurasiatheria,Eulipotyphla,Eulipotyphla,Soricidae,Suncus,terrestrial,43.76,11.981,2.87,1.696,3.694,1.488,10.815,1.213,0.77,1.626,0.675,5.033,0.683,0.494,0.911,0.696,3.04,1.016,0.632,0.83,0.628,5.57,others
Diplomesodon_pulchellum,Diplomesodon_pulchellum,Laurasiatheria,Eulipotyphla,Eulipotyphla,Soricidae,Diplomesodon,terrestrial,11,8.947,2.268,0.895,2.904,1.034,8.638,0.854,0.564,1.073,0.422,3.458,0.511,0.428,0.651,0.392,1.936,0.781,0.396,0.488,0.415,5.005,others
Crocidura_russula,Crocidura_russula,Laurasiatheria,Eulipotyphla,Eulipotyphla,Soricidae,Crocidura,terrestrial,9.89,8.787,2.092,0.884,2.612,0.993,8.004,0.89,0.558,0.931,0.383,3.155,0.519,0.377,0.577,0.367,1.71,0.634,0.352,0.455,0.297,4.025,others
Paracrocidura_schoutedeni,Paracrocidura_schoutedeni,Laurasiatheria,Eulipotyphla,Eulipotyphla,Soricidae,Paracrocidura,terrestrial,12.18,8.887,2.516,1.105,2.797,1.312,7.556,0.932,0.683,0.936,0.473,3.284,0.553,0.445,0.587,0.449,1.617,0.713,0.424,0.537,0.442,4.017,others
Neomys_fodiens,Neomys_fodiens,Laurasiatheria,Eulipotyphla,Eulipotyphla,Soricidae,Neomys,semi-aquatic,15.26,9.555,2.408,1.034,3.46,1.084,9.413,1.081,0.69,0.79,0.535,4.083,0.47,0.408,0.625,0.502,2.342,0.752,0.365,0.507,0.468,5.522,others
Episoriculus_caudatus,Episoriculus_caudatus,Laurasiatheria,Eulipotyphla,Eulipotyphla,Soricidae,Episoriculus,terrestrial,6,6.728,1.793,0.69,2.182,0.766,7.84,0.744,0.4,0.833,0.323,2.721,0.379,0.337,0.503,0.322,1.557,0.555,0.331,0.386,0.323,3.644,others
Soriculus_nigrescens,Soriculus_nigrescens,Laurasiatheria,Eulipotyphla,Eulipotyphla,Soricidae,Soriculus,terrestrial,14.58,16.773,4.07,1.503,5.434,2.259,14.447,1.623,0.976,1.781,0.67,6.254,0.926,0.804,1.157,0.626,3.251,1.236,0.635,0.845,0.569,7.543,others
Nectogale_elegans,Nectogale_elegans,Laurasiatheria,Eulipotyphla,Eulipotyphla,Soricidae,Nectogale,semi-aquatic,38.82,9.392,2.812,1.43,4.23,1.344,10.156,1.146,0.613,1.484,0.527,4.266,0.551,0.457,0.664,0.459,2.241,0.789,0.478,0.562,0.433,5.485,others
Chimarrogale_himalayica,Chimarrogale_himalayica,Laurasiatheria,Eulipotyphla,Eulipotyphla,Soricidae,Chimarrogale,semi-aquatic,33.5,12.314,2.727,1.582,4.706,1.57,10.865,1.416,0.889,1.643,0.613,4.64,0.718,0.569,0.868,0.648,3.257,1.016,0.557,0.695,0.585,7.112,others
Surdisorex_norae,Surdisorex_norae,Laurasiatheria,Eulipotyphla,Eulipotyphla,Soricidae,Surdisorex,terrestrial,23.57,9.978,3.5,2.1,5.959,2.368,9.754,1.421,0.815,1.705,0.75,3.589,0.934,0.729,1.078,0.735,1.898,1.248,0.795,0.979,0.761,6.68,others
Notiosorex_crawfordi,Notiosorex_crawfordi,Laurasiatheria,Eulipotyphla,Eulipotyphla,Soricidae,Notiosorex,terrestrial,4.79,6.848,1.812,0.775,2.384,0.781,6.174,0.718,0.392,0.674,0.362,2.361,0.349,0.292,0.461,0.306,1.408,0.505,0.278,0.36,0.309,3.55,others
Anourosorex_squamipes,Anourosorex_squamipes,Laurasiatheria,Eulipotyphla,Eulipotyphla,Soricidae,Anourosorex,terrestrial,20,10.66,2.96,1.307,4.024,1.366,9.359,1.215,0.724,1.178,0.519,3.189,0.644,0.515,0.803,0.474,1.841,0.917,0.489,0.565,0.426,4.777,others
Blarina_brevicauda,Blarina_brevicauda,Laurasiatheria,Eulipotyphla,Eulipotyphla,Soricidae,Blarina,terrestrial,18.56,9.317,2.372,1.084,3.612,1.142,8.405,1.016,0.638,0.932,0.431,3.159,0.592,0.416,0.692,0.493,1.769,0.771,0.405,0.501,0.479,4.745,others
Cryptotis_mexicana,Cryptotis_mexicana,Laurasiatheria,Eulipotyphla,Eulipotyphla,Soricidae,Cryptotis,terrestrial,7,7.656,2.542,1.017,3.607,1.045,7.598,0.974,0.556,1.053,0.432,2.581,0.534,0.407,0.616,0.435,1.427,0.785,0.423,0.516,0.503,3.986,others
Sorex_cinereus,Sorex_cinereus,Laurasiatheria,Eulipotyphla,Eulipotyphla,Soricidae,Sorex,terrestrial,4.2,5.668,1.236,0.599,1.822,0.614,6.371,0.594,0.317,0.511,0.247,2.447,0.229,0.232,0.405,0.281,1.339,0.456,0.253,0.315,0.25,3.082,others
Neotetracus_sinensis,Neotetracus_sinensis,Laurasiatheria,Eulipotyphla,Eulipotyphla,Erinaceidae,Neotetracus,terrestrial,87,17.884,2.878,1.36,3.973,1.987,15.173,1.588,1.006,1.796,0.674,6.592,0.747,0.612,0.985,0.568,3.519,1.079,0.54,0.653,0.547,7.373,others
Podogymnura_truei,Podogymnura_truei,Laurasiatheria,Eulipotyphla,Eulipotyphla,Erinaceidae,Podogymnura,terrestrial,67,20.417,3.921,1.657,5.057,2.784,20.128,2.158,1.215,2.179,0.702,8.14,0.986,0.674,1.321,0.685,3.945,1.285,0.648,0.934,0.617,8.931,others
Echinosorex_gymnura,Echinosorex_gymnura,Laurasiatheria,Eulipotyphla,Eulipotyphla,Erinaceidae,Echinosorex,terrestrial,756.53,53.003,10.418,4.756,13.924,6.436,43.367,6.777,3.162,6.497,2.131,19.201,2.663,2.201,3.533,2.092,8.964,3.542,2.028,1.906,1.768,19.519,others
Erinaceus_europaeus,Erinaceus_europaeus,Laurasiatheria,Eulipotyphla,Eulipotyphla,Erinaceidae,Erinaceus,terrestrial,777.95,32.325,9.255,3.518,10.093,4.331,25.228,5.672,3.114,3.722,2.079,9.631,2.328,1.959,3.085,1.965,4.154,2.63,1.914,2.202,1.81,11.654,others
Paraechinus_aethiopicus,Paraechinus_aethiopicus,Laurasiatheria,Eulipotyphla,Eulipotyphla,Erinaceidae,Paraechinus,terrestrial,352.4,35.548,7.295,2.63,8.151,4.24,37.001,3.778,2.143,4.284,1.376,9.189,1.703,1.207,2.064,0.853,3.412,2.13,1.369,1.44,0.886,9.12,others
Hemiechinus_auritus,Hemiechinus_auritus,Laurasiatheria,Eulipotyphla,Eulipotyphla,Erinaceidae,Hemiechinus,terrestrial,322.04,29.766,6.517,2.832,7.919,3.267,29.865,3.761,1.781,2.826,1.535,8.278,1.761,1.596,1.944,1.1,3.442,2.088,1.356,1.487,1.064,9.837,others
Atelerix_albiventris,Atelerix_albiventris,Laurasiatheria,Eulipotyphla,Eulipotyphla,Erinaceidae,Atelerix,terrestrial,293.44,28.716,6.335,2.352,6.018,3.642,29.305,3.534,2.077,3.536,1.538,7.706,1.204,1.023,1.327,1.044,2.081,1.439,1.1,1.264,0.812,6.747,others
Equus_asinus,Equus_asinus,Laurasiatheria,Perissodactyla,Perissodactyla,Equidae,Equus,terrestrial,164998.49,254.055,86.33,35.06,71.59,41.705,305.325,74.51,34.53,70.025,23.34,209.07,46.33,29.465,40.5,23.695,75.93,41.33,25.86,38.02,21.225,144.505,others
Equus_hemionus,Equus_hemionus,Laurasiatheria,Perissodactyla,Perissodactyla,Equidae,Equus,terrestrial,235248.07,231.56,81.18,31.32,65.595,37.89,281.01,64.725,31.155,39.855,20.715,215.665,41.39,25.705,38.03,21.495,68.84,38.45,24.635,36.345,20.97,139.39,others
Equus_grevyi,Equus_grevyi,Laurasiatheria,Perissodactyla,Perissodactyla,Equidae,Equus,terrestrial,408000.35,284.97,97.69,44.53,80.285,53.175,323.42,88.255,42.49,78.075,30.72,237.655,51.58,32.88,46.065,28.035,83.565,46.47,30.355,43.995,25.68,153.695,others
Equus_caballus,Equus_caballus,Laurasiatheria,Perissodactyla,Perissodactyla,Equidae,Equus,terrestrial,403598.53,170.34,84.62,30.89,68.55,40.34,306.79,72.58,31.63,66.01,23.15,199.97,44.715,28.425,41.225,20.675,72.965,47.695,29.98,42.755,21.325,155.145,others
Acrocodia_indicus,Acrocodia_indicus,Laurasiatheria,Perissodactyla,Perissodactyla,Tapiridae,Acrocodia,semi-aquatic,311209.19,230.21,91,34.64,77.035,39.335,215.25,51.175,24.7,44.775,25.28,110.765,31.01,25.965,36.065,13.375,31.585,33.24,25.42,29.71,10.485,73.695,others
Tapirus_terrestris,Tapirus_terrestris,Laurasiatheria,Perissodactyla,Perissodactyla,Tapiridae,Tapirus,semi-aquatic,169496.64,231,82.37,35.415,66.32,41.825,209.905,50.045,25.335,36.1,25.23,113.12,28.15,28.57,34.415,15.8,29.525,28.47,24.605,25.885,11.28,75.17,others
Tapirus_pinchaque,Tapirus_pinchaque,Laurasiatheria,Perissodactyla,Perissodactyla,Tapiridae,Tapirus,semi-aquatic,156923.4,236.94,77.425,27.755,67.27,32.165,207.86,48.165,20.37,34.175,17.46,114.925,28.56,23.61,31.15,9.6,31.42,28.56,22.575,25.58,12.63,NA,others
Rhinoceros_unicornis,Rhinoceros_unicornis,Laurasiatheria,Perissodactyla,Perissodactyla,Rhinocerotidae,Rhinoceros,terrestrial,1843655.8,427,199.52,83.17,169.955,75.965,403.99,121.065,59.95,116.665,35.105,201.175,68.45,57,72.725,29.85,43.65,64.255,62.205,62.32,21.22,112.975,others
Rhinoceros_sondaicus,Rhinoceros_sondaicus,Laurasiatheria,Perissodactyla,Perissodactyla,Rhinocerotidae,Rhinoceros,terrestrial,1750000,391.73,172.035,89.95,133.49,73.06,344.465,107.07,51.72,106.05,38.015,159.705,65.145,59.115,67.095,19.105,38.005,57.865,53.87,51.71,22.505,99.875,others
Dicerorhinus_sumatrensis,Dicerorhinus_sumatrensis,Laurasiatheria,Perissodactyla,Perissodactyla,Rhinocerotidae,Dicerorhinus,terrestrial,1046156.04,327.85,116.86,73.99,108.595,44.265,281.215,71.31,35.315,72.82,26.8,134.41,43.12,42.63,52.97,13.835,34.685,43.235,40.97,39.495,14.88,87.445,others
Diceros_bicornis,Diceros_bicornis,Laurasiatheria,Perissodactyla,Perissodactyla,Rhinocerotidae,Diceros,terrestrial,995940.54,275.35,165.895,51.11,139.485,79.39,378.395,98.16,48.125,87.565,32.77,161.965,46.165,45.295,64.5,23.015,34.395,58.005,55.37,54.405,22.32,81.825,others
Ceratotherium_simum,Ceratotherium_simum,Laurasiatheria,Perissodactyla,Perissodactyla,Rhinocerotidae,Ceratotherium,terrestrial,2285939.43,358.78,159.39,68.325,168.62,155.235,389.9,117.805,61.09,114.545,38.5,160.285,54.195,52.515,36.405,24.51,41.155,49.695,47.93,45.9,26.165,91.5,others
Lama_guanicoe,Lama_guanicoe,Laurasiatheria,Cetartiodactyla_Non_Cet,Cetartiodactyla,Camelidae,Lama,terrestrial,115000,237.775,68.055,27.475,49.945,30,274.915,45.385,27.68,43.59,15.175,219.91,19.3,10.245,18.415,14.025,66.765,18.725,10.855,15.085,13.42,116.995,others
Lama_glama,Lama_glama,Laurasiatheria,Cetartiodactyla_Non_Cet,Cetartiodactyla,Camelidae,Lama,terrestrial,78322.67,228.89,66.315,25.34,50.365,29.395,265.41,47.47,28.585,45.755,15.86,215.615,27.3,11.72,21.365,14.485,70.215,20,11.715,13.91,15.06,123.55,others
Camelus_dromedarius,Camelus_dromedarius,Laurasiatheria,Cetartiodactyla_Non_Cet,Cetartiodactyla,Camelidae,Camelus,terrestrial,492714.47,320.75,117.645,52.71,84.11,56.19,444.08,87.565,49.9,85.085,30.66,312.305,45.19,19.385,35.88,27.365,86.575,36.015,21.46,26.98,22.2,160.025,others
Camelus_bactrianus,Camelus_bactrianus,Laurasiatheria,Cetartiodactyla_Non_Cet,Cetartiodactyla,Camelidae,Camelus,terrestrial,554515.91,385.845,120.845,59.125,99.85,57.865,473.51,95.74,52.495,98.98,35.26,334.39,52.215,18.52,43.46,28.665,100.585,43.035,22.14,28.295,24.9,194.31,others
Tayassu_pecari,Tayassu_pecari,Laurasiatheria,Cetartiodactyla_Non_Cet,Cetartiodactyla,Tayassuidae,Tayassu,terrestrial,31798.71,121.77,33.75,12.735,27.115,17.6,90.73,19.26,12.335,20.46,11.87,50.465,11.27,8.065,10.045,8.635,26.4,9.945,9.75,8.365,9.21,62.255,others
Pecari_tajacu,Pecari_tajacu,Laurasiatheria,Cetartiodactyla_Non_Cet,Cetartiodactyla,Tayassuidae,Pecari,terrestrial,21133.69,124.9,31.963,12.708,27.86,17.525,98.095,19.275,11.878,20.658,11.8,51.365,12.08,8.478,10.508,7.958,23.765,9.113,8.113,9.998,9.26,60.223,others
Potamochoerus_larvatus,Potamochoerus_larvatus,Laurasiatheria,Cetartiodactyla_Non_Cet,Cetartiodactyla,Suidae,Potamochoerus,terrestrial,69063.79,175.77,53.36,25.49,49.835,29.185,144.545,30.59,18.745,35.58,17.265,67.41,21.31,15.48,18.405,11.84,31.85,18.01,13.75,15.095,11.85,75.925,others
Sus_sp,Sus_sp,Laurasiatheria,Cetartiodactyla_Non_Cet,Cetartiodactyla,Suidae,Sus,terrestrial,107579.38,183.625,63.995,19.625,41.09,30.36,157.73,30.075,18.965,37.58,15.2,62.745,25.005,16.42,18.57,12.155,31.605,18.515,16.035,17.36,15.6,80.445,others
Phacochoerus_africanus,Phacochoerus_africanus,Laurasiatheria,Cetartiodactyla_Non_Cet,Cetartiodactyla,Suidae,Phacochoerus,terrestrial,82499.99,142.07,50.705,14.288,38.033,18.11,128.35,25.398,13.18,31.25,10.9,68.258,20.233,11.858,14.168,10.115,32.583,11.773,9.343,10.665,11.12,69.418,others
Hylochoerus_meinertzhageni,Hylochoerus_meinertzhageni,Laurasiatheria,Cetartiodactyla_Non_Cet,Cetartiodactyla,Suidae,Hylochoerus,terrestrial,198130.47,213.285,71.38,24.535,55.5,33.81,165.2,35.68,24.13,43.02,16.935,77.24,24.1,19.325,21.035,11.695,38.28,18.74,15.87,18.575,14.92,90.965,others
Babyrousa_babyrussa,Babyrousa_babyrussa,Laurasiatheria,Cetartiodactyla_Non_Cet,Cetartiodactyla,Suidae,Babyrousa,terrestrial,92950.09,167.705,55.51,20.92,42.19,28.29,152.94,25.995,17.37,30.895,13.265,66.695,14.73,12.17,15.805,8.385,28.07,14.9,12.01,12.79,10.645,NA,others
Hippopotamus_amphibius,Hippopotamus_amphibius,Laurasiatheria,Cetartiodactyla_Non_Cet,Cetartiodactyla,Hippopotamidae,Hippopotamus,semi-aquatic,1536310.4,393.285,146.92,74.73,130.418,66.563,275.405,99.018,48.748,91.12,42.85,144.808,47.055,41.35,49.643,25.395,63.638,48.21,34.975,39.773,24.468,134.735,others
Choeropsis_liberiensis,Choeropsis_liberiensis,Laurasiatheria,Cetartiodactyla_Non_Cet,Cetartiodactyla,Hippopotamidae,Choeropsis,semi-aquatic,235001.16,213.165,76.668,40.78,59.358,31.13,153.078,45.195,22.483,44.748,21.408,83.713,25.115,20.303,28.723,11.193,41.01,26.62,21.053,22.303,13.583,78.08,others
Eubalaena_australis,Eubalaena_australis,Laurasiatheria,Cetacea,Cetartiodactyla,Balaenidae,Eubalaena,aquatic,22999999.91,526.405,306.81,213.365,263.78,143.33,539.325,215.975,226.07,335.21,89.36,163.585,116.3,96.83,124.01,70.03,176.49,114.4,72.53,105.915,54.955,642.485,Cetacea
Eubalaena_glacialis,Eubalaena_glacialis,Laurasiatheria,Cetacea,Cetartiodactyla,Balaenidae,Eubalaena,aquatic,22999999.91,429.38,151.61,177.175,301.96,142.59,470.24,235.595,198.68,333.52,88.315,141.195,116.965,82.335,98.57,75.2,153.91,96.08,57.765,93.2,60.575,517.18,Cetacea
Lissodelphis_borealis,Lissodelphis_borealis,Laurasiatheria,Cetacea,Cetartiodactyla,Delphinidae,Lissodelphis,aquatic,113000,60.115,30.145,26.625,38.705,26.87,74.67,25.47,26.265,29.225,13.41,31.13,14.43,14.16,16.21,9.04,21.405,16.33,14.135,15.495,6.775,NA,Cetacea
Caperea_marginata,Caperea_marginata,Laurasiatheria,Cetacea,Cetartiodactyla,Neobalaenidae,Caperea,aquatic,3199999.98,143.98,82.12,64.94,83.89,48.425,211.845,57.6,45.605,47.125,24.69,45.03,19.32,13.225,20.125,12.99,26.755,17.19,11.815,16.475,9.025,61.74,Cetacea
Eschrichtius_robustus,Eschrichtius_robustus,Laurasiatheria,Cetacea,Cetartiodactyla,Eschrichtiidae,Eschrichtius,aquatic,27324024.19,458.55,245.925,220.59,271.09,126.96,707.44,177.335,188.935,260.72,84.285,163.345,115.195,105.905,138.885,72.215,165.66,119.33,79.35,122.655,59.935,NA,Cetacea
Megaptera_novaeangliae,Megaptera_novaeangliae,Laurasiatheria,Cetacea,Cetartiodactyla,Balaenopteridae,Megaptera,aquatic,30000000.01,323.175,267.3,211.65,257.755,126.685,740.185,193.005,122.17,232,85.115,194.89,81.52,54.98,78.69,47.9,186.765,91.375,46.79,93.425,45.06,772.365,Cetacea
Balaenoptera_acutorostrata,Balaenoptera_acutorostrata,Laurasiatheria,Cetacea,Cetartiodactyla,Balaenopteridae,Balaenoptera,aquatic,5587093.59,215.795,150.17,135.8,158.41,87.89,446.445,114.075,88.95,118.855,49.98,78.745,42.98,28.97,45.455,30.735,74.36,46.065,25.165,43.26,21.24,196.145,Cetacea
Kogia_breviceps,Kogia_breviceps,Laurasiatheria,Cetacea,Cetartiodactyla,Kogiidae,Kogia,aquatic,431500,79.76,45.12,40.21,51.84,25.82,59.295,35.51,30.47,37.015,15.735,29.605,16.535,10.405,18.35,10.2,23.23,17.35,13.1,14.975,9.875,83.055,Cetacea
Physeter_macrocephalus,Physeter_macrocephalus,Laurasiatheria,Cetacea,Cetartiodactyla,Physeteridae,Physeter  ,aquatic,14540959.82,445.945,231.835,191.14,249.07,116.345,330.365,198.595,156.795,210.11,97.835,180.245,95.585,51.835,79,43.3,138.265,76.2,46.695,69.71,31.86,371.37,Cetacea
Mesoplodon_bidens,Mesoplodon_bidens,Laurasiatheria,Cetacea,Cetartiodactyla,Ziphiidae,Mesoplodon,aquatic,3400000,139.765,59.235,62.07,67.935,42.82,142.915,47.68,43.995,46.775,28.315,36.49,22.59,21.395,21.175,11.81,28.09,16.77,14.035,15.83,7.52,47.74,Cetacea
Ziphius_cavirostris,Ziphius_cavirostris,Laurasiatheria,Cetacea,Cetartiodactyla,Ziphiidae,Ziphius,aquatic,4774999.99,141.13,64.915,63.235,59.44,39.805,163.3,45.765,41.91,46.365,25,50.14,23.03,18.005,24.36,10.575,41.16,22.615,15.27,24.03,7.96,101.545,Cetacea
Hyperoodon_ampullatus,Hyperoodon_ampullatus,Laurasiatheria,Cetacea,Cetartiodactyla,Ziphiidae,Hyperoodon,aquatic,3393361.08,217.89,102.25,98.805,107.92,61.625,225.71,78.695,66.36,73.825,45.17,67.01,39.31,30.685,33.665,21.7,43.34,30.965,23.85,29.33,13.3,NA,Cetacea
Berardius_arnuxii,Berardius_arnuxii,Laurasiatheria,Cetacea,Cetartiodactyla,Ziphiidae,Berardius,aquatic,7000000.02,214.155,101.565,95.16,99.19,64.925,199.38,83.495,63.635,76.315,43.885,73.75,30.805,22.92,36.15,15.345,42.605,31,25.79,28.51,11.935,NA,Cetacea
Monodon_monoceros,Monodon_monoceros,Laurasiatheria,Cetacea,Cetartiodactyla,Monodontidae,Monodon,aquatic,938126.44,131.38,63.785,36.59,62.115,32.045,121.67,41.065,40.54,51.23,21.765,35.795,28.275,19.99,25.97,12.565,25.565,20.41,13.995,20.99,10.075,81.165,Cetacea
Delphinapterus_leucas,Delphinapterus_leucas,Laurasiatheria,Cetacea,Cetartiodactyla,Monodontidae,Delphinapterus,aquatic,1381640.73,132.32,55.74,40.195,69.605,35.82,113.195,50.31,51.265,67.905,26.525,35.55,35.1,28.5,34.015,13.69,25.465,29.48,22.23,29.435,10.465,128.145,Cetacea
Phocoenoides_dalli,Phocoenoides_dalli,Laurasiatheria,Cetacea,Cetartiodactyla,Phocoenidae,Phocoenoides ,aquatic,106042.53,52.225,27.14,22.295,32.605,19.61,57.635,28.195,28.285,32.66,11.075,21.045,13.525,13.935,16.35,6.555,13.6,15.98,14.04,14.51,5.265,26.97,Cetacea
Phocoena_phocoena,Phocoena_phocoena,Laurasiatheria,Cetacea,Cetartiodactyla,Phocoenidae,Phocoena,aquatic,52730.93,54.035,26.345,19.705,28.925,17.015,59.36,22.975,24.85,30.015,10.58,18.67,12.555,11.395,13.19,6.825,13.275,12.04,11.365,11.495,5.695,34.05,Cetacea
Neophocaena_phocaenoides,Neophocaena_phocaenoides,Laurasiatheria,Cetacea,Cetartiodactyla,Phocoenidae,Neophocaena,aquatic,32500,54.14,26.08,20.51,34.51,17.9,62.165,26.725,28.065,27.755,9.665,24.165,14.175,13.325,16.335,5.59,17.035,15.345,13.81,14.385,4.86,NA,Cetacea
Lagenorhynchus_acutus,Lagenorhynchus_acutus,Laurasiatheria,Cetacea,Cetartiodactyla,Delphinidae,Lagenorhynchus,aquatic,186517.55,64.92,43.155,35.765,50.65,31,78.165,37.455,39.61,44.885,14.6,40.405,23.86,23.675,25.785,12.45,32.9,22.99,18.955,22.3,9.56,68.52,Cetacea
Orcinus_orca,Orcinus_orca,Laurasiatheria,Cetacea,Cetartiodactyla,Delphinidae,Orcinus,aquatic,2441000.5,180.56,99.26,83.07,127.825,66.595,174.975,91.695,85.64,119.72,40.67,42.83,49.495,42.655,52.01,18.975,28.915,50.94,44.325,48.975,16.305,66.64,Cetacea
Orcaella_brevirostris,Orcaella_brevirostris,Laurasiatheria,Cetacea,Cetartiodactyla,Delphinidae,Orcaella,aquatic,189999.99,83.6,32.99,24.435,42.47,24.14,79.765,28.055,38.12,41.2,17.39,48.72,23.655,21.925,25.01,11.875,25.075,24.441,19.915,22.74,7.425,76.035,Cetacea
Grampus_griseus,Grampus_griseus,Laurasiatheria,Cetacea,Cetartiodactyla,Delphinidae,Grampus,aquatic,387500,94.4,56.86,47.825,70.675,42.105,114.61,54.37,53.625,64.995,26.81,63.725,33.96,31.25,38.665,18.74,41.13,35.06,28.705,33.295,15.84,214.032,Cetacea
